Date,Death,Injuries,Location,description
1/7/13,1,0,"Fort Myers, Florida","Shots were fired at Apostolic Revival Center Christian School, leaving 27-year-old Kristopher Smith dead in what was believed to be a retaliation killing, possibly for his talking with police about a previous incident.[426][427]"
1/10/13,0,2,"Taft, California","16-year-old student, Bryan Oliver, entered a science classroom of Taft Union High School with a shotgun and opened fire, critically wounding 16-year-old student Bowe Cleveland. He shot at but missed another student. The classroom teacher Ryan Heber convinced Oliver, to drop his weapon. He was later arrested. On January 14, he was charged with two counts of attempted murder and assault with a firearm.[428] He was convicted and accepted a plea deal with a sentence of 27 years and 4 months.[429] According to the attorney[430] for the Cleveland family, they were not satisfied with the sentence."
1/12/13,0,1,"Detroit, Michigan",A 16-year-old Osborn High School student is wounded after a basketball game.[428]
1/15/13,0,2,"St. Louis, Missouri","A 34-year-old gunman wounded an administrator in his office on the fourth floor of Stevens Institute of Business and Arts. The suspected gunman, Sean Johnson, a part-time student, wounded himself in a stairwell. Both the administrator and Johnson were hospitalized in stable conditions. Johnson was charged with three felony charges, including assault.[431][432]"
1/15/13,3,0,"Hazard, Kentucky","Two people were killed and a third person was wounded at the parking lot of Hazard Community and Technical College.[433] The third victim, 12-year-old Taylor Cornett, died from her wounds the next day.[434] 21-year-old Dalton Lee Stidham, was arrested and charged with three counts of murder."
1/16/13,1,0,"Chicago, Illinois","A 17-year-old boy, Tyrone Lawson, was killed in a parking lot of Chicago State University. The shooting happened after high school basketball games held on the campus, where Lawson had been a spectator. Police arrested two brothers, Michael McNabb, 33, and Brian Hewlett (under the alias Stephen Gilbert), 30 after the shooting and recovered a weapon.[428][435][436]"
1/22/13,0,3,"Houston, Texas","Lone Star Collegeâ€“North Harris shooting: Outside Lone Star Collegeâ€“North Harris, two men got into an argument. One wounded the other. He also wounded a maintenance man, and accidentally shot himself in the leg. The shooter fled into the woods and was arrested hours later. The charges against the initial suspect were dropped and another man was arrested.[437]"
1/31/13,0,0,"Phoenix, Arizona","An argument between two rival gangs escalated to what police described as a ""gun battle"" at Cesar Chavez High School. Approximately fifteen shots were fired in the vicinity of people waiting to get into a scheduled boys' basketball game. No one was injured.[438]"
1/31/13,0,2,"Atlanta, Georgia","A 14-year-old male student was wounded at Price Middle School. The gunman, a 15-year-old student, was believed to be arguing with the other student before using a handgun to shoot him. A teacher was also wounded. Afterward, the gunman was disarmed by a school resource officer and arrested; police charged him with aggravated assault.[439][440]"
3/18/13,1,0,"Orlando, Florida","At the University of Central Florida, 30-year-old student James Oliver Seevakumaran pulled a fire alarm at the Tower One dormitory, to attract a crowd. He pointed a handgun at his roommate and threatened to shoot him in their room; he released the roommate, who ran out and called 9-1-1. Seevakumaran then fatally shot himself in the head. Authorities found an assault weapon, a couple hundred rounds of ammunition and four homemade bombs inside his backpack.[441]"
4/12/13,0,2,"Christiansburg, Virginia","New River Community College shooting incident: Two women were wounded during a shooting at the campus of New River Community College. 18-year-old Neil Allen MacInnis, was taken into custody. In June 2014, he was sentenced to 38 years in prison.[442]"
4/16/13,0,3,"Grambling, Louisiana",Three students were injured on the campus of Grambling State University.[443]
4/18/13,1,0,"Cambridge, Massachusetts","Three days after committing the Boston Marathon bombings, while still at large, the brothers Dzhokhar Tsarnaev and Tamerlan Tsarnaev shot and killed Massachusetts Institute of Technology campus police officer Sean Collier[444] in his patrol car near MIT's Ray and Maria Stata Center.[445] About three hours after the MIT shooting and after carjacking a vehicle, Tamerlan died in a gunfight with police in Watertown, Massachusetts. Another officer was seriously wounded. Shot in the neck and hiding in a boat parked nearby, Dzhokhar was arrested 18 hours later, and hospitalized in critical condition.[445] He was sentenced to death in 2015."
5/14/13,0,0,"Birmingham, Alabama","Allegedly responding to a student fight, a mother of a student fired a weapon on the campus of Ossie Ware Mitchell Middle School. No one was injured.[446]"
