Data,Location,High School Name,School Type,Others
5/16/18,"Dixon, IL",Dixon High School,High School,Other
5/11/18,"Palmdale, CA",Highland High School,High School,Attack on other persons(s) resulting in injury or death
5/5/18,"Fowlerville, MI",Fowlerville High School,High School,Gun fired but no one injured
5/3/18,"Waynesboro, TN",Waynesboro Elementary School,Elementary School,Gun fired but no one injured
4/22/18,"Atlanta, GA",Benjamin Elijah Mays High School,High School,Gun fired but no one injured
4/20/18,"Ocala, FL",Forest High School,High School,Attack on other persons(s) resulting in injury or death
4/19/18,"Jackson, MI",Jackson High School,High School,Gun fired but no one injured
4/12/18,"Raytown, MO",Raytown South Middle School,Middle School,Attack on other persons(s) resulting in injury or death
3/20/18,"Great Mills, MD",Great Mills High School,High School,Attack on other persons(s) resulting in injury or death
3/16/18,"Missoula, MT",Big Sky High School,High School,Gun fired but no one injured
3/13/18,"Seaside, CA",Seaside High School,High School,Gun fired unintentionally resulting in injury or death
3/13/18,"Alexandria, VA",George Washington Middle School,Middle School,Gun fired but no one injured
3/9/18,"Lexington, KY",Frederick Douglass High School,High School,Gun fired unintentionally resulting in injury or death
3/7/18,"Birmingham, AL",Huffman High School,High School,Other
3/5/18,"Cadet, MO",Kingston High School,High School,"Attempted or completed suicide, with no intent to injure other person"
3/4/18,"San Marcos, TX",Texas State University,College or University,Gun fired but no one injured
3/2/18,"Mount Pleasant, MI",Central Michigan University,College or University,Attack on other persons(s) resulting in injury or death
2/28/18,"Dalton, GA",Dalton High School,High School,Gun fired but no one injured
2/27/18,"Norfolk, VA",Norfolk State University,College or University,Gun fired unintentionally resulting in injury or death
2/27/18,"Itta Bena, MS",Mississippi Valley State University,College or University,Attack on other persons(s) resulting in injury or death
2/26/18,"Tacoma, WA",Oakland High School,High School,Gun fired but no one injured
2/24/18,"Savannah, GA",Savannah State University,College or University,Attack on other persons(s) resulting in injury or death
2/23/18,"Hammond, LA",Southeastern Louisiana University,College or University,Attack on other persons(s) resulting in injury or death
2/20/18,"Massillon, OH",Jackson Memorial Middle School,Middle School,Other
2/15/18,"Coconut Creek, FL",North Broward Preparatory School,K-12 School,Gun fired unintentionally resulting in injury or death
2/14/18,"Parkland, FL",Marjory Stoneman Douglas High School,High School,Attack on other persons(s) resulting in injury or death
2/8/18,"New York, NY",The Metropolitan High School,High School,Gun fired but no one injured
2/5/18,"Oxon Hill, MD",Oxon Hill High School,High School,Attack on other persons(s) resulting in injury or death
2/5/18,"Maplewood, MN",Harmony Learning Center,K-12 School,Gun fired but no one injured
2/1/18,"Los Angeles, CA",Salvador B. Castro Middle School,Middle School,Gun fired unintentionally resulting in injury or death
1/31/18,"Philadelphia, PA",Lincoln High School,High School,Attack on other persons(s) resulting in injury or death
1/26/18,"Dearborn, MI",Dearborn High School,High School,Gun fired but no one injured
1/25/18,"Mobile, AL",Murphy High School,High School,Gun fired but no one injured
1/23/18,"Benton, KY",Marshall County High School,High School,Attack on other persons(s) resulting in injury or death
1/22/18,"Gentilly, LA",The NET Charter High School,High School,Attack on other persons(s) resulting in injury or death
1/22/18,"Italy, TX",Italy High School,High School,Attack on other persons(s) resulting in injury or death
1/20/18,"Winston-Salem, NC",Wake Forest University,College or University,Attack on other persons(s) resulting in injury or death
1/15/18,"Marshall, TX",Wiley College,College or University,Gun fired but no one injured
1/10/18,"San Bernardino, CA","California State University, San Bernardino",College or University,Gun fired but no one injured
1/10/18,"Sierra Vista, AZ",Coronado Elementary School,Elementary School,"Attempted or completed suicide, with no intent to injure other person"
1/10/18,"Denison, TX",Grayson College,Community College,Gun fired but no one injured
1/4/18,"Seattle, WA",New Start High School,High School,Gun fired but no one injured
12/31/17,"Marysville, WA",Pinewood Elementary School,Elementary School,Gun fired but no one injured
12/27/17,"Lancaster, CA",Lincoln Elementary School,Elementary School,Attack on other persons(s) resulting in injury or death
12/19/17,"Beecher, MI",Beecher High School,High School,Attack on other persons(s) resulting in injury or death
12/14/17,"Dallas, TX",Elisha M. Pease Elementary School,Elementary School,Gun fired but no one injured
12/13/17,"Monaca, PA",Penn State Beaver,College or University,Attack on other persons(s) resulting in injury or death
12/12/17,"East Stroudsburg, PA",East Stroudsburg University,College or University,Attack on other persons(s) resulting in injury or death
12/12/17,"Pasadena, TX",Sam Rayburn High School,High School,Gun fired unintentionally resulting in injury or death
12/11/17,"High Point, NC",High Point Central High School,High School,Gun fired but no one injured
12/7/17,"Aztec, NM",Aztec High School,High School,Attack on other persons(s) resulting in injury or death
11/30/17,"Virginia Beach, VA",Salem High School,High School,"Attempted or completed suicide, with no intent to injure other person"
