Date,Death,Injuries,Location,description
1764-07-26,10,2,"Greencastle, Pennsylvania","Enoch Brown school massacre: Perhaps the earliest shooting to happen on school or college property, in what would become the United States, was the notorious Enoch Brown school massacre during the Pontiac's War. Four Delaware (Lenape) American Indians entered the schoolhouse near present-day Greencastle, Pennsylvania, and shot and killed schoolmaster Enoch Brown and nine children (reports vary). Only two children survived. However, this incident may only incidentally be considered a school ""shooting"" because only the teacher was shot, while the other nine victims were killed with melee weapons. [1][2]"
1840-11-12,1,0,"Charlottesville, Virginia","John Anthony Gardner Davis, a law professor at the University of Virginia, was shot by student Joseph Semmes, and died from his wound three days later.[3][4]"
1853-11-02,1,0,"Louisville, Kentucky","Student Mathews Flounoy Ward took a pistol to school, where he shot the schoolmaster William H.G. Butler as revenge for what Ward thought was excessive punishment of his brother the day before. Butler died, and Ward was acquitted.[5]"
1856-08-16,2,0,"Florence, Alabama","The schoolmaster had a tame sparrow and had warned the students not to harm it, threatening death. One of the boys stepped on the bird and killed it; he was afraid to return to school but did so. After lessons, the master took the boy into a private room and strangled him to death. The boy's father went to the school and shot the schoolmaster dead.[6]"
1858-07-08,1,0,"Baltimore, Maryland","The 15-year-old son of Col. John T. Farlow (Baltimore's Marshal of Police 1867â€“70), was killed during a Sabbath School gathering. The perpetrator escaped, but several arrests were made.[7]"
1860-01-21,1,0,"Todd County, Kentucky","A son of Col. Elijah Sebree was killed by another student. Young Sebree was threatening the other boy and said he intended to kill him. The other student got a gun and walked up to Sebree in the schoolhouse, where he killed him.[8]"
1864-02-06,1,0,"Ashland County, Ohio","George W. Longfelt, the school teacher of the Pyfer's School House, killed student Alfred Desem and fled.[9]"
1867-02-16,2,0,"Knights Ferry, California","Mr. McGinnis was killed by his daughter's teacher after McGinnis threatened the teacher for expelling his daughter from school. When McGinnis' son learned of this, he went to the school and killed the teacher.[10]"
1867-04-02,1,0,"Madison, Florida","Frank Pope, a pupil at the St. John's seminary, killed his teacher Mr. Bristow with a pistol.[11]"
1867-06-08,0,1,"New York City, New York","13-year-old Arthur Day, secretly took a loaded pistol to Public School No. 18 to shoot a dog he said had bitten him. While playing with the pistol, Day accidentally injured classmate Robert Morton.[12]"
1868-12-22,3,0,"Chattanooga, Tennessee","A boy who refused to be whipped by his teacher left the school. The next day he returned with his brother and a friend for revenge. Not finding the teacher at the school, they continued to his house, where a gun battle took place and three died. Only the original boy who initiated the attack survived.[13]"
1871-01-27,1,0,"Knoxville, Tennessee","John Roberts, aged ten or twelve, accidentally had one of his eyes shot out at school and died.[14]"
1872-02-01,0,1,"Washington, Pennsylvania","At the all-girls Union School, 17-year-old Thomas McGiffin shot and seriously wounded the principal, Prof. Wilson, in the hip because the professor refused to deliver a note to one of the young ladies for him. McGiffin was a son of Col. Norton McGiffin, and brother of US naval hero Philo McGiffin.[15]"
1873-02-11,0,1,Wisconsin,Chris Foote[not in citation given] shot the school mistress for whipping his son.[16][betterÂ sourceÂ needed]
