Date,Death,Injuries,Location,State,School_Name,School_Type,Latitude,Longitude
1/7/13,1,0,Fort Myers, FL,Apostolic Revival Center Christian School,Preschool,26.640628,-81.8723084
1/10/13,0,2,Taft, CA,Taft Union High School,High School,50.9954169,-118.6467639
1/12/13,0,1,Detroit, MI,Osborn High School ,High School,42.3486635,-83.0567375
1/15/13,0,2,St. Louis, MO,Stevens Institute of Business & Arts,College or University,38.6272733,-90.1978889
1/15/13,3,0,Hazard, KY,Hazard Community and Technical College,College or University,37.24954,-83.1932284
1/16/13,1,0,Chicago, IL,Chicago State University,College or University,41.8755546,-87.6244212
1/22/13,0,3,Houston, TX,Lone Star College North Harris Campus,College or University,29.7589382,-95.3676974
1/31/13,0,0,Phoenix,AZ,Cesar Chavez High School,High School,33.4485866,-112.0773456
1/31/13,0,2,Atlanta, GA,Price Middle School,Middle School,33.7490987,-84.3901849
3/18/13,1,0,Orlando, FL,University of Central Florida,College or University,28.5423999,-81.3794368
4/12/13,0,2,Christiansburg, VA,New River Community College,College or University,37.1298517,-80.4089389
4/16/13,0,3,Tuscaloosa, AL,Stillman College,College or University,33.2668398,-87.4862182
4/18/13,1,0,Cambridge,MA,MIT,College or University,42.3750997,-71.1056157
5/14/13,0,0,Birmingham,AL,Ossie Ware Mitchell Middle School,Middle School,33.5206824,-86.8024326
6/7/13,6,4,Santa Monica, CA,Santa Monica College,College or University,46.724362,-75.559685
8/20/13,0,0,Decatur, GA,Ronald E. McNair Discovery Learning Academy,Elementary School,33.7737582,-84.296069
8/23/13,1,2,Sardis, MS,North Panola High School,High School,31.8009956,-90.324257
8/30/13,0,1,Winston-Salem, NC,Carver High School,High School,36.0998131,-80.2440518
10/4/13,0,2,Pine Hills, FL,Agape Christian Academy,Elementary School,28.5825505,-81.4618323
10/21/13,2,2,Sparks, NV,Sparks Middle School,Middle School,39.5348431,-119.7527683
11/2/13,0,1,Greensboro, NC,North Carolina A&T State University,Preschool,36.0726355,-79.7919754
11/3/13,0,2,Stone Mountain, GA,Stephenson High School,High School,33.8062166,-84.1457505
11/13/13,0,3,Pittsburgh, PA,Brashear High School,High School,40.4416941,-79.9900861
12/4/13,0,1,Winter Garden, FL,West Orange High School,High School,28.5502685,-81.59259746
12/13/13,2,0,Centennial, CO,Arapahoe High School,High School,39.5680644,-104.9778308
12/19/13,0,1,Fresno, CA,Edison High School,High School,36.7295295,-119.7088613
1/9/14,0,1,Jackson, TN,Liberty Technology Magnet High School,High School,35.6144446,-88.8177418
1/13/14,0,1,New Haven, CT,Hillhouse High School,High School,41.3082138,-72.9250518
1/14/14,0,3,Roswell, NM,Berrendo Middle School,Middle School,33.3943282,-104.5229518
1/17/14,0,2,Philadelphia, PA,Delaware Valley Charter High School,High School,39.9524152,-75.1635755
1/20/14,0,1,Chester, PA,Widener University,College or University,39.849557,-75.3557458
1/21/14,1,0,West Lafayette, IN,Purdue University,College or University,40.4258686,-86.9080655
1/24/14,1,0,Orangeburg, SC,South Carolina State University,College or University,33.4918203,-80.8556476
1/25/14,1,0,Los Angeles, CA,Angeles Valley College,College or University,34.054935,-118.244476
1/27/14,0,1,Carbondale, IL,Rebound High School,High School,37.7274692,-89.216655
1/28/14,0,1,Nashville, TN,Tennessee State University,College or University,36.1622296,-86.7743531
1/28/14,0,1,Grambling, LA,Grambling State University,College or University,32.5276503,-92.7140403
1/30/14,0,1,Palm Bay, FL,Eastern Florida State College,College or University,28.0331886,-80.6429695
1/31/14,0,1,Phoenix, AZ,Cesar Chavez High School,High School,33.4485866,-112.0773456
1/31/14,0,1,Des Moines, IA,North High School,High School,41.5910641,-93.6037149
2/10/14,0,1,Salisbury, NC,Salisbury High School,High School,-28.7464779,24.776729
2/10/14,0,0,Lyndhurst, OH,Charles F. Brush High School,High School,41.520052,-81.488732
2/12/14,0,1,Los Angeles, CA,University of Southern California,College or University,34.054935,-118.244476
2/22/14,0,1,Augusta, GA,Georgia Regents University,College or University,33.4709714,-81.9748429
3/12/14,1,0,Miami, FL,The Academy of Knowledge Preschool,Preschool,25.7742658,-80.1936589
